date,year,month,month_name,quarter,week,day_of_week,is_weekend
2016-12-02 21:15:19,2016,12,December,4,48,Friday,False
2016-12-03 21:15:19,2016,12,December,4,48,Saturday,True
2016-12-04 21:15:19,2016,12,December,4,48,Sunday,True
2016-12-05 21:15:19,2016,12,December,4,49,Monday,False
2016-12-06 21:15:19,2016,12,December,4,49,Tuesday,False
2016-12-07 21:15:19,2016,12,December,4,49,Wednesday,False
2016-12-08 21:15:19,2016,12,December,4,49,Thursday,False
2016-12-09 21:15:19,2016,12,December,4,49,Friday,False
2016-12-10 21:15:19,2016,12,December,4,49,Saturday,True
2016-12-11 21:15:19,2016,12,December,4,49,Sunday,True
2016-12-12 21:15:19,2016,12,December,4,50,Monday,False
2016-12-13 21:15:19,2016,12,December,4,50,Tuesday,False
2016-12-14 21:15:19,2016,12,December,4,50,Wednesday,False
2016-12-15 21:15:19,2016,12,December,4,50,Thursday,False
2016-12-16 21:15:19,2016,12,December,4,50,Friday,False
2016-12-17 21:15:19,2016,12,December,4,50,Saturday,True
2016-12-18 21:15:19,2016,12,December,4,50,Sunday,True
2016-12-19 21:15:19,2016,12,December,4,51,Monday,False
2016-12-20 21:15:19,2016,12,December,4,51,Tuesday,False
2016-12-21 21:15:19,2016,12,December,4,51,Wednesday,False
2016-12-22 21:15:19,2016,12,December,4,51,Thursday,False
2016-12-23 21:15:19,2016,12,December,4,51,Friday,False
2016-12-24 21:15:19,2016,12,December,4,51,Saturday,True
2016-12-25 21:15:19,2016,12,December,4,51,Sunday,True
2016-12-26 21:15:19,2016,12,December,4,52,Monday,False
2016-12-27 21:15:19,2016,12,December,4,52,Tuesday,False
2016-12-28 21:15:19,2016,12,December,4,52,Wednesday,False
2016-12-29 21:15:19,2016,12,December,4,52,Thursday,False
2016-12-30 21:15:19,2016,12,December,4,52,Friday,False
2016-12-31 21:15:19,2016,12,December,4,52,Saturday,True
2017-01-01 21:15:19,2017,1,January,1,52,Sunday,True
2017-01-02 21:15:19,2017,1,January,1,1,Monday,False
